03/17/2021 03:50:30 - INFO     - Training on cuda
03/17/2021 03:50:30 - INFO     - Train/Test Split: 94.6% / 5.4%
03/17/2021 03:50:38 - INFO     - Starting new training for /home/ubuntu/EVGen/Results/AWS_test_v10
03/17/2021 05:17:09 - INFO     - Completed: Epoch 708/5000 	 Batch 10/70.0 	 Total Batches 49500/350000.0 	 Time left 8:45:17.262958
03/17/2021 05:18:02 - INFO     - Completed: Epoch 715/5000 	 Batch 20/70.0 	 Total Batches 50000/350000.0 	 Time left 8:44:26.146658
03/17/2021 05:18:54 - INFO     - Completed: Epoch 722/5000 	 Batch 30/70.0 	 Total Batches 50500/350000.0 	 Time left 8:43:34.791110
03/17/2021 05:19:47 - INFO     - Completed: Epoch 729/5000 	 Batch 40/70.0 	 Total Batches 51000/350000.0 	 Time left 8:42:43.465288
03/17/2021 05:20:39 - INFO     - Completed: Epoch 736/5000 	 Batch 50/70.0 	 Total Batches 51500/350000.0 	 Time left 8:41:52.109823
03/17/2021 05:21:31 - INFO     - Completed: Epoch 743/5000 	 Batch 60/70.0 	 Total Batches 52000/350000.0 	 Time left 8:40:59.878175
03/17/2021 05:22:24 - INFO     - Completed: Epoch 750/5000 	 Batch 70/70.0 	 Total Batches 52500/350000.0 	 Time left 8:40:08.208597
03/17/2021 05:23:16 - INFO     - Completed: Epoch 758/5000 	 Batch 10/70.0 	 Total Batches 53000/350000.0 	 Time left 8:39:09.249965
03/17/2021 05:24:08 - INFO     - Completed: Epoch 765/5000 	 Batch 20/70.0 	 Total Batches 53500/350000.0 	 Time left 8:38:15.908293
03/17/2021 05:25:00 - INFO     - Completed: Epoch 772/5000 	 Batch 30/70.0 	 Total Batches 54000/350000.0 	 Time left 8:37:21.936875
03/17/2021 05:25:52 - INFO     - Completed: Epoch 779/5000 	 Batch 40/70.0 	 Total Batches 54500/350000.0 	 Time left 8:36:28.102181
03/17/2021 05:26:44 - INFO     - Completed: Epoch 786/5000 	 Batch 50/70.0 	 Total Batches 55000/350000.0 	 Time left 8:35:33.773285
03/17/2021 05:27:36 - INFO     - Completed: Epoch 793/5000 	 Batch 60/70.0 	 Total Batches 55500/350000.0 	 Time left 8:34:41.352558
03/17/2021 05:28:28 - INFO     - Completed: Epoch 800/5000 	 Batch 70/70.0 	 Total Batches 56000/350000.0 	 Time left 8:33:47.639702
